                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 1.3922,                0.70484,                0.93712,                0.94271,                0.95058,                0.97029,                0.60338,                 1.2084,                0.64974,                0.90647,             0.00082539,             0.00082539,             0.00082539
                    131,                 1.3686,                0.70242,                0.92176,                0.94766,                0.93826,                0.96059,                0.61165,                  1.204,                0.63667,                0.90401,             0.00082067,             0.00082067,             0.00082067
                    132,                 1.3379,                0.71813,                0.94037,                0.94213,                0.93476,                0.96207,                 0.6169,                 1.1963,                0.63927,                0.90324,             0.00081596,             0.00081596,             0.00081596
                    133,                  1.428,                0.74939,                0.94805,                0.93406,                0.95157,                0.96963,                0.58631,                 1.2395,                  0.666,                0.90343,             0.00081124,             0.00081124,             0.00081124
                    134,                 1.3938,                0.73492,                0.95398,                0.95269,                0.94335,                0.97735,                0.60918,                  1.209,                0.64933,                0.90418,             0.00080653,             0.00080653,             0.00080653
                    135,                 1.3103,                0.70424,                0.93324,                0.95669,                0.91822,                0.96163,                0.57867,                 1.2749,                0.66713,                0.91701,             0.00080181,             0.00080181,             0.00080181
                    136,                 1.3497,                0.74294,                 0.9378,                0.93844,                0.94259,                0.96204,                0.55162,                 1.3022,                0.68102,                0.91688,              0.0007971,              0.0007971,              0.0007971
                    137,                 1.3252,                0.70233,                0.92253,                0.93677,                0.94494,                0.97073,                0.61173,                 1.1982,                0.63783,                0.89858,             0.00079238,             0.00079238,             0.00079238
                    138,                 1.3192,                0.71953,                0.91487,                0.96488,                0.93663,                0.97415,                0.58415,                 1.2542,                0.66182,                 0.9029,             0.00078766,             0.00078766,             0.00078766
                    139,                 1.3533,                0.68962,                0.93435,                0.97335,                0.94387,                0.98172,                0.63451,                 1.2032,                 0.6464,                0.90429,             0.00078295,             0.00078295,             0.00078295
                    140,                 1.3524,                0.69599,                0.95598,                0.95674,                0.95329,                0.97412,                0.58496,                 1.2764,                0.65916,                0.91031,             0.00077823,             0.00077823,             0.00077823
                    141,                  1.307,                 0.6997,                0.91102,                0.95072,                0.95329,                0.96675,                0.62324,                 1.1951,                0.63016,                0.90555,             0.00077352,             0.00077352,             0.00077352
                    142,                 1.3762,                 0.7376,                0.94708,                0.97277,                0.96081,                0.98086,                0.61395,                 1.1925,                 0.6201,                0.90621,              0.0007688,              0.0007688,              0.0007688
                    143,                 1.3589,                0.71437,                0.92694,                0.96145,                0.95801,                 0.9853,                0.62986,                 1.1965,                0.62888,                0.90685,             0.00076409,             0.00076409,             0.00076409
                    144,                 1.3309,                0.69463,                 0.9174,                 0.9493,                0.96783,                0.97572,                0.63618,                 1.1605,                 0.6011,                0.90154,             0.00075937,             0.00075937,             0.00075937
                    145,                  1.375,                0.70416,                0.94643,                0.95908,                0.95534,                0.98288,                0.62813,                 1.1669,                0.59674,                0.90031,             0.00075465,             0.00075465,             0.00075465
                    146,                 1.3071,                0.67013,                0.92931,                 0.9579,                0.94753,                0.97874,                0.62872,                 1.1414,                 0.6123,                0.89324,             0.00074994,             0.00074994,             0.00074994
                    147,                 1.3417,                0.70591,                0.93796,                0.96039,                0.93459,                0.97155,                0.60978,                 1.2454,                0.67241,                0.91107,             0.00074522,             0.00074522,             0.00074522
                    148,                 1.3458,                0.71149,                0.94523,                0.96112,                0.95551,                0.98335,                0.64948,                  1.126,                0.60643,                0.88713,             0.00074051,             0.00074051,             0.00074051
                    149,                 1.3629,                 0.6991,                0.94052,                0.96256,                0.95836,                0.97859,                0.61982,                  1.173,                0.61191,                0.89544,             0.00073579,             0.00073579,             0.00073579
                    150,                 1.3324,                0.68964,                0.92481,                0.96222,                0.96252,                0.98209,                0.62813,                 1.1846,                 0.6222,                0.89925,             0.00073108,             0.00073108,             0.00073108
                    151,                  1.406,                0.75372,                0.94935,                0.95155,                0.94244,                0.97043,                0.63032,                  1.187,                 0.6299,                0.90012,             0.00072636,             0.00072636,             0.00072636
                    152,                 1.2781,                0.71169,                0.93375,                0.95196,                0.96188,                0.97434,                0.61452,                 1.1552,                 0.6151,                0.89353,             0.00072164,             0.00072164,             0.00072164
